statefip,manual,limbs,strength,body,language,oral,written,cognitive,perception,visual,hearing,vocal,year,name,total,imputed_mex,imputed_otherlat,imputed_total_lat,border_distance,border_dummy,foreign_empl,native_empl,foreign_howo,native_howo,manual_f,manual_n,limbs_f,limbs_n,strength_f,strength_n,body_f,body_n,language_f,language_n,oral_f,oral_n,written_f,written_n,cognitive_f,cognitive_n,perception_f,perception_n,visual_f,visual_n,hearing_f,hearing_n,vocal_f,vocal_n
15,0.6920293569564819,0.6881459951400757,0.6993100047111511,0.692637026309967,0.3398822546005249,0.3356195092201233,0.3441450297832489,0.4295174181461334,0.5547557473182678,0.6665106415748596,0.6376063227653503,0.3323678970336914,1960,Hawaii,173574,0,104.5111390880727,104.5111390880727,4177.213646295807,0,25907,116350,48623797,230115674.5,35034960.10217285,141572616.20129395,33819220.45617676,139347412.66467285,36631280.69934082,143426823.2364502,36078910.248046875,144817863.96533203,13267933.617004395,90524215.5916748,13309332.234100342,93883934.35516357,13226535.09375,87164497.24797058,16529389.885314941,96747836.96435547,23727306.305480957,118519633.09368896,31180979.997924805,136780320.88659668,28868433.86364746,129271340.0826416,13156380.885925293,94745458.08099365
16,0.7300755977630615,0.712526261806488,0.7657294869422913,0.7293817400932312,0.27240651845932007,0.2685365080833435,0.276276558637619,0.4050242006778717,0.5316576957702637,0.6424290537834167,0.5865239500999451,0.24395433068275452,1960,Idaho,158620,133.74367622259695,0,133.74367622259695,1314.9204404281286,0,3386,141735,7763543.75,298069097.5,4843868.337890625,197137600.80371094,4637626.916748047,192155973.49414062,5181602.036987305,206358262.16784668,4937304.710693359,198065853.94921875,2929228.047607422,101084538.71325684,3070686.975708008,102274734.38613892,2787769.155151367,99894343.9013977,3732912.9438476562,125367066.99719238,4086411.5815429688,153788166.07226562,4519084.876953125,177654848.04943848,4396813.505126953,161095646.42565918,2825864.0338134766,96027010.72653198
17,0.7041376829147339,0.7052741050720215,0.7099744081497192,0.6940006017684937,0.3099752366542816,0.29608118534088135,0.3238693177700043,0.4118857979774475,0.5510454177856445,0.6603603363037109,0.6222450733184814,0.2888164818286896,1960,Illinois,3029591,11542.584730638851,3014.1958407448205,14556.780571383671,1733.2722598764772,0,197740,2279936,388136613.5,4468047938.75,249160425.76745605,2820168598.178711,248327843.97485352,2813185617.9978027,251768737.75964355,2844857524.149536,247981485.06018066,2806764897.4198,135529217.91471863,1677397996.396698,135355508.687912,1677592410.950714,135702928.27000427,1677203595.6192932,153515414.53253174,1843841848.846344,195790138.63897705,2340676889.4641113,235126137.81799316,2690644485.5030518,219764055.36120605,2524240528.2922363,136610913.85822296,1666941360.903885
18,0.7230638861656189,0.722675621509552,0.7340995073318481,0.7102400064468384,0.2922573387622833,0.27429601550102234,0.3102186620235443,0.40441858768463135,0.5501053929328918,0.6687994599342346,0.6258857250213623,0.2647143304347992,1960,Indiana,1332110,1858.3597435591969,670.9738378692177,2529.3335814284146,1780.3159021813144,0,23010,1109027,41897053.25,2179230396,27572649.41455078,1409217984.119873,27546039.44946289,1406674375.2648926,27768943.92602539,1426589400.7017822,27393805.106689453,1393862743.3184814,13097142.256225586,792640349.6838379,13237881.81262207,779660990.588913,12956402.827148438,805619715.4420319,15554440.039428711,900494640.4558411,21531014.087768555,1148820395.998108,25429333.627807617,1334297020.621338,24133071.91809082,1242995885.7052002,13706612.496826172,769624040.4966507
19,0.7431051731109619,0.7238163948059082,0.785654604434967,0.7381402850151062,0.2489050030708313,0.24242553114891052,0.2553844749927521,0.3944735527038574,0.528670072555542,0.6349101066589355,0.5690959692001343,0.21628613770008087,1960,Iowa,664030,221.4893621296504,88.9515510560845,310.44091318573487,1568.6696843499508,0,10851,652842,20729855.5,1454168852.75,14249637.505859375,973733117.6257324,13789335.043701172,946954505.1719971,15186859.329467773,1028518980.5133057,14228867.373779297,972197386.270874,6011200.9658203125,464962171.56073,6226138.186828613,468359558.4597626,5796263.7333984375,461564787.63597107,8185379.906738281,597364641.6157532,10138619.659179688,743420276.0141602,11604414.653808594,850135736.4296875,10136385.92553711,755877834.5031738,5457440.897521973,436190465.5563431
20,0.7251509428024292,0.711846113204956,0.7545213103294373,0.7217002511024475,0.2757779359817505,0.2681826055049896,0.28337323665618896,0.4058058559894562,0.535037100315094,0.6440574526786804,0.5950164794921875,0.2521928548812866,1960,Kansas,540603,1263.7829603341097,226.27473886139964,1490.0576991955093,1091.0467641594062,0,5478,474257,9959862.75,1020421274,6599425.820068359,661014668.2756348,6397063.364746094,647122157.526001,6871654.61328125,687358613.9176025,6765045.774902344,662816036.4810791,2718649.534423828,356211046.00318336,2816475.6005859375,359519728.6320839,2620823.4724121094,352902366.7334137,3610303.966796875,428781181.1378174,4741293.658691406,525273388.7420654,5523508.503417969,601692327.4255371,5020316.343261719,552018950.0317383,2756056.002685547,347485067.5558338
21,0.7129271030426025,0.7028404474258423,0.7369247674942017,0.7081466317176819,0.2971412241458893,0.28976336121559143,0.30451908707618713,0.40907326340675354,0.5365965962409973,0.65108722448349,0.6056402325630188,0.27597928047180176,1960,Kentucky,660391,0,40.183026914800834,40.183026914800834,1706.184447794363,0,2592,627251,6005686.25,1193856147.25,2731239.9609375,785863454.0246582,2594607.6298828125,771501999.3208008,2893114.89453125,814186150.5760498,2870477.1953125,786363745.020752,3268859.4267578125,412320504.454834,3475936.21875,416182658.0845032,3061782.6040039062,408458354.6523285,3013853.771484375,484386442.5742798,2739671.2392578125,614298410.7449951,3117383.0546875,723795006.8027344,2810076.6000976562,669998538.685669,3550383.5234375,404630414.3222809
22,0.6873747706413269,0.6788731217384338,0.7029383778572083,0.6891743540763855,0.3366363048553467,0.3375317454338074,0.335740864276886,0.424299031496048,0.5458903908729553,0.658195972442627,0.6233396530151367,0.33079829812049866,1960,Louisiana,765755,353.7129999034548,2734.081961706804,3087.7949616102587,810.54405424545,0,6674,675775,13953032.25,1328281814.5,8216839.388183594,852013141.7833252,8046593.162597656,827327425.8406982,8357921.6845703125,886636175.7144775,8466102.2109375,870448642.2618408,5414319.5888671875,488787306.84552765,5801839.798095703,514195745.76963043,5026799.4111328125,463378875.11333466,5443933.6796875,526757786.76016235,6620652.43359375,678265378.4967041,7788984.787597656,806123823.836792,7225380.065185547,758173258.5769043,5727794.994140625,510593368.5035496
23,0.7401664853096008,0.7347559928894043,0.7561078071594238,0.7337660193443298,0.2852546274662018,0.26567867398262024,0.3048305809497833,0.39971375465393066,0.5466815829277039,0.6847026348114014,0.6446169018745422,0.25626125931739807,1960,Maine,258377,0,148.5922071277584,148.5922071277584,3189.081428836055,0,15735,200698,31258962.75,396223172,21305607.396484375,263404217.18652344,21302128.444335938,261725179.31677246,21611160.919921875,267523904.72802734,20932362.3828125,262452204.53173828,11076971.840820312,141941216.2123413,10854484.65209961,138011977.1852417,11299459.209350586,145870456.4886322,13075575.541015625,163808835.6051941,16444125.227050781,209056407.27764893,19663403.435546875,250668595.1616211,18880177.471191406,235389456.9206543,10965398.478088379,136262605.4273224
24,0.6820595860481262,0.683010995388031,0.6840970516204834,0.6771342754364014,0.3453601002693176,0.3368934988975525,0.3538266718387604,0.4313391149044037,0.5583090782165527,0.6604282259941101,0.6248681545257568,0.33091962337493896,1960,Maryland,904335,155.18688172756487,1288.5684079445468,1443.7552896721118,2436.723943164116,0,23318,703809,49279654.25,1362546520.25,26812089.72265625,842309995.5559082,26519605.380859375,836052367.8389893,27298863.740234375,850063111.9460449,26934832.313476562,848262666.8519287,22673933.46044922,542280344.8597889,23896877.127563477,553139682.0386467,21450989.925476074,531421010.8967819,22967634.516784668,569205167.56781,24750989.952392578,716090097.4915771,27293174.233398438,820534426.546875,25596862.943359375,772986537.6490479,24004519.814086914,552457386.4446831
25,0.7096812725067139,0.7153833508491516,0.7096701860427856,0.6954396963119507,0.3212486803531647,0.30311986804008484,0.3393775224685669,0.41629546880722046,0.5584707260131836,0.6794816255569458,0.6477344036102295,0.2987772226333618,1960,Massachusetts,1610292,54.940493819927525,2767.5580068684703,2822.498500688398,2985.070315020143,0,144040,1038709,274520140.75,1987452747.75,178071901.46643066,1239451644.6445312,178169171.7158203,1250990828.1186523,179684250.72888184,1230065362.5334473,175813285.90795898,1222336527.8426514,98725882.6069336,800015602.024765,98124329.03580475,789470002.2004242,99327437.58547974,810561208.9921417,111325883.93334961,850116431.8374023,141267525.25073242,1060570299.0703735,167967592.23718262,1226463841.3218994,158655491.24316406,1166167554.4210205,98345862.3321228,792586296.1709518
26,0.7085136771202087,0.7129783034324646,0.7116947174072266,0.6933757066726685,0.3112228512763977,0.2943938076496124,0.32805192470550537,0.41394802927970886,0.5538590550422668,0.6685176491737366,0.6320053935050964,0.2866588532924652,1960,Michigan,2175248,2199.350957859714,1098.4198549530017,3297.770812812716,2106.38492587454,0,149705,1631549,296139916.5,3081199373.5,181804967.26782227,1968305594.340332,182414070.71972656,1976282370.7961426,182381526.02575684,1974073205.699829,179561506.68359375,1941154121.7574463,114076255.32815552,1154401015.1662598,115785685.83734131,1141058261.9325867,112366826.42919922,1167743781.2539368,122666041.19683838,1282170524.5799866,150876498.1949463,1631708776.4207764,176128334.74401855,1893710871.1905518,164431098.78112793,1783825251.5717773,114759441.91090393,1131867244.343933
27,0.7252382040023804,0.7106128334999084,0.7580652832984924,0.7207677960395813,0.27288588881492615,0.265144944190979,0.2806268334388733,0.40489304065704346,0.531775176525116,0.6371181607246399,0.5825563669204712,0.24602454900741577,1960,Minnesota,864042,328.86509259380784,188.53041946110537,517.3955120549132,1879.9535305824597,0,28605,742501,58985901.5,1567650679,38574099.228515625,1024417772.2503662,37662373.3671875,1002757291.1773682,40360240.59863281,1068249212.8181152,38620739.03222656,1023779716.6451416,19300463.362243652,533645449.2883911,19562767.442871094,536343246.0301361,19038159.576538086,530947656.11213684,23488398.001220703,651610988.3690491,29357618.72216797,803189105.1608276,34624812.90185547,919217568.2270508,31648543.591308594,835187850.9354248,19173030.046691895,513528832.4678116
28,0.71323162317276,0.704598069190979,0.7360895276069641,0.7062429785728455,0.31361231207847595,0.30334460735321045,0.32388001680374146,0.43052539229393005,0.5442126393318176,0.6638609170913696,0.6170639991760254,0.2882138192653656,1960,Mississippi,480433,0,42.694422053266074,42.694422053266074,1081.7001775488397,0,1495,457542,3419210,881902361,1513720.986328125,590424865.62890625,1400717.62890625,570272042.6715088,1662664.7734375,624763004.935669,1610049.59765625,597884263.9730225,2030796.890625,298525728.0436249,2170701.7705078125,309729622.82025146,1890892.0380859375,287321837.97520447,1909128.267578125,345200536.8977356,1693120.845703125,442435968.1856079,1841040.478515625,535069701.28564453,1716769.7939453125,492109597.13757324,2215492.2841796875,299441529.21440125
29,0.708576500415802,0.7016158699989319,0.7271233797073364,0.7027943730354309,0.3027728497982025,0.2905166745185852,0.3150290250778198,0.41136983036994934,0.5439872741699219,0.6549655795097351,0.6069058179855347,0.2787415385246277,1960,Missouri,1140793,849.0369447292687,423.80897073951235,1272.8459154687812,1283.4489400211628,0,15443,1003938,30413317.25,1991499996.25,18184361.022460938,1266433266.8480835,17811018.479003906,1247701335.751648,18744637.887939453,1302327523.5422363,18417370.798339844,1268395295.26062,11729126.158447266,733035985.9962311,11947122.092773438,736234744.6702118,11511130.322631836,729837234.0394897,12586021.167175293,823677529.2380676,15187370.82800293,1030435046.6852417,17565335.49255371,1189309377.7462158,15995883.611938477,1095959782.163086,12299278.041015625,722616458.4210129
30,0.7256104946136475,0.7077277898788452,0.7604271173477173,0.7267964482307434,0.27677181363105774,0.2802933156490326,0.2732502818107605,0.4091677665710449,0.5305854678153992,0.6419615745544434,0.5945119261741638,0.2620563805103302,1960,Montana,159974,88.1262123496909,89.01637611079889,177.14258846048978,1622.581778648471,0,6576,139348,12127596.75,295884081.75,7552570.514892578,194775162.4354248,7359878.970458984,189698325.34423828,7858706.483276367,203671026.09179688,7651629.946777344,196347433.49938965,4484633.098266602,100885883.67860413,4710521.615112305,104137111.82511902,4258744.602722168,97634655.90248108,4916582.10534668,124793557.46795654,6199870.92590332,151907728.61730957,6969977.490356445,176369249.13916016,6321434.611083984,162385707.01257324,4566647.419555664,99808514.05103302
31,0.7374871373176575,0.716571569442749,0.781437337398529,0.7348384857177734,0.2581620514392853,0.2534414231777191,0.26288267970085144,0.40506839752197266,0.534595251083374,0.6307163834571838,0.5676925182342529,0.22487665712833405,1960,Nebraska,342880,579.2949771689497,133.75227658186563,713.0472537508153,1341.049846217053,0,7580,330298,16319092,762717268.5,10977657.1328125,505376601.8477783,10660515.799804688,489864744.1680908,11636366.982421875,535244133.9020996,10947123.76171875,506821862.3791504,4739560.459655762,252050693.75524902,4540237.767456055,255673959.23355103,4938883.142822266,248427430.01135254,5973096.02734375,320811650.0628052,7951309.1025390625,393920646.81799316,9520933.896484375,441957745.4805908,8280773.1875,394515564.37231445,4141620.5087280273,237051440.77679443
32,0.6867133378982544,0.6724290251731873,0.7056629061698914,0.6987370848655701,0.3218742311000824,0.3410215675830841,0.3027269244194031,0.4153098165988922,0.5345820784568787,0.6408434510231018,0.6200528740882874,0.3406076431274414,1960,Nevada,83375,403.53303055577544,0,403.53303055577544,531.4693973166162,0,3586,64040,6792506.5,126869043.25,3627445.1103515625,76699149.5246582,3434815.771484375,74837304.8569336,3866882.9365234375,78613848.67932129,3809721.3203125,78960387.09655762,3111422.7009277344,50358997.28869629,3516298.662963867,54476935.764038086,2706546.650390625,46241058.870666504,2800237.8369140625,53204414.16455078,3117075.59375,64376766.76257324,3491506.46484375,73411612.7590332,3624566.654296875,71011631.68835449,3601715.2041015625,55203302.813964844
33,0.73100745677948,0.7348978519439697,0.7360280156135559,0.7150056958198547,0.30011025071144104,0.2736765742301941,0.326543927192688,0.4132956862449646,0.5556029081344604,0.6892364025115967,0.6534826755523682,0.2699684798717499,1960,New Hampshire,183485,0,54.20418534145774,54.20418534145774,3011.6793253591754,0,13642,134970,28368099,269471064.25,17338989.611816406,175801501.50354004,17444667.358642578,177145058.8071289,17487601.013671875,175708914.35913086,16889030.56298828,172558340.56799316,11407021.113647461,101321135.24441528,11126419.503540039,97078586.57144165,11687622.8336792,105563685.3861084,12023141.516601562,114668650.76672363,14529253.315429688,143795150.3848877,17070126.62890625,170510764.26623535,15982175.958007812,161552029.3166504,11055099.889587402,97612959.94517517
34,0.6891323328018188,0.6939026713371277,0.6885801553726196,0.6778967380523682,0.34230905771255493,0.3256739377975464,0.3589441776275635,0.430876761674881,0.5584940314292908,0.6701724529266357,0.6345473527908325,0.3219048082828522,1960,New Jersey,1893321,210.92174215343223,7758.52840483982,7969.450146993252,2675.7139239954454,0,173032,1314275,340500436.75,2534469635.5,219784324.47607422,1568944256.9083252,220032933.3223877,1574802537.7651367,222053490.35205078,1566132564.6402588,216326342.49768066,1557813161.2386475,123014724.75917053,1026679353.5743103,122687081.04283142,1018512719.4965057,123342369.96470642,1034845996.6728516,143286861.83740234,1091177016.082428,177581272.6394043,1347792111.5875854,209107004.4074707,1556785846.0551758,195616850.40551758,1469609788.1706543,122611142.8306961,1022981682.2573013
35,0.6870081424713135,0.6741278171539307,0.7072911858558655,0.6938551068305969,0.3328835070133209,0.3354837894439697,0.3302832543849945,0.43285071849823,0.5417404770851135,0.6535866856575012,0.6226553916931152,0.3302845358848572,1960,New Mexico,217547,2973.530662644277,87.41802361740451,3060.9486862616814,351.74495646200216,1,4579,170803,9351986,350330794.25,6486511.4208984375,221856247.8609619,6243304.4365234375,216814490.23291016,6916752.2255859375,228458836.66027832,6556728.455078125,226207407.92614746,2711071.7388305664,132404545.8026123,2714221.346008301,135742091.4484253,2707922.1424560547,129067001.48098755,3331116.8567504883,149900707.16522217,4356464.7900390625,181362672.03326416,5529459.6083984375,214277722.35595703,5065118.7734375,203073497.4831543,2463842.7896728516,135695328.25837708
36,0.6766889691352844,0.678336501121521,0.6788735389709473,0.6698393225669861,0.34880247712135315,0.33954697847366333,0.35805800557136536,0.4256679117679596,0.5532116293907166,0.6569676399230957,0.6224446296691895,0.3349156975746155,1960,New York,5195753,2390.1385755285614,60660.71594175236,63050.85451728092,2700.9884204973487,0,669649,3359453,1272491121,6408478678.75,768909289.0472412,3858776087.399353,757445488.7259521,3848737152.3639526,787631610.501831,3873567264.100952,774165866.1593018,3865384441.0375977,504191392.1031647,2653916127.8036804,525326856.3881378,2691521837.174738,483055934.2167587,2616310440.4026184,523318673.54730225,2702870714.8535767,641285045.1431885,3349593229.328308,746841756.15234375,3819884458.019287,698617352.1014404,3603501271.9854126,529389449.0521774,2700892553.3286667
37,0.7250567078590393,0.7231047749519348,0.7400965094566345,0.7111367583274841,0.3055758774280548,0.28271612524986267,0.32843562960624695,0.42732131481170654,0.5513747334480286,0.6697525978088379,0.6295995712280273,0.2658030390739441,1960,North Carolina,1169563,46.52080055477789,279.59471040497823,326.11551095975614,2017.4537475969485,0,2691,1096100,6254586,2070830131,2950174.2412109375,1394165935.8920898,2791764.33984375,1375919170.175293,3148008.4711914062,1437930114.6917725,3098906.03515625,1385077654.3874512,3398341.5180664062,714863300.8644714,3425269.0498046875,702086362.7068939,3371413.9921875,727640248.1118317,3275549.673828125,840048842.7313232,3129774.4794921875,1073575219.8919678,3362404.2885742188,1277822238.175171,3070726.974609375,1194787382.9118652,3480259.3525390625,677092175.566246
38,0.7416473627090454,0.7122052907943726,0.8005186319351196,0.74166339635849,0.2428722083568573,0.24548368155956268,0.2402607500553131,0.4085623323917389,0.5145463347434998,0.6101400852203369,0.5387184619903564,0.20421822369098663,1960,North Dakota,119473,0,71.25982196379331,71.25982196379331,1865.9091432657904,0,4976,136258,10731451.75,321366778.5,7425563.396484375,220214400.62243652,6916229.703125,211165954.7290039,8272736.21484375,237659606.24499512,7639932.17578125,221029029.43798828,3141376.327026367,95668426.17633057,3444207.3751220703,98595774.375,2838545.3706054688,92741078.52911377,4346582.638916016,134190437.07006836,5130125.0869140625,160656877.26501465,5889985.88671875,183873499.12695312,5109335.6796875,161253054.56884766,3181807.751953125,86492045.17312622
39,0.7130842208862305,0.7147167325019836,0.7195668816566467,0.7008994221687317,0.30420657992362976,0.2878272831439972,0.32058587670326233,0.4066755771636963,0.5497133135795593,0.6666635274887085,0.6312565207481384,0.28190213441848755,1960,Ohio,2794630,1233.3581610006026,1028.8314307844223,2262.189591785025,2043.4194281173989,0,102708,2182131,190745576.25,4200816643,120975056.85192871,2685270817.914551,120639671.85876465,2685089536.249878,122034128.82507324,2705005265.3360596,120489676.3840332,2661055952.6741943,68688335.03271484,1563109175.66922,68101455.33673096,1547388048.088562,69275215.54476929,1578830318.0605469,77522024.55065918,1726572328.0699768,97168832.39892578,2204741533.2278442,115537538.18774414,2563639806.090576,110330766.30627441,2418766502.222046,68778374.7298584,1544004537.0329132
